"power","category","num_males","num_females","num_other","diff","per_males","per_females","perdiffMF","sig","definition"
"Super Strength","Enhanced physical abilities",3938,1195,331,7.689358,28.33909,20.649732,27.133398,"y",
"Agility","Enhanced physical abilities",2571,1460,83,-6.727234,18.501727,25.228961,-36.360034,"y",
"Stamina","Enhanced physical abilities",2853,1006,120,3.147297,20.531088,17.383791,15.329421,"y",
"Berserker Strength","Enhanced physical abilities",662,115,57,2.776748,4.763961,1.987213,58.286544,"y",
"Super Speed*","Enhanced physical abilities",1357,533,89,0.555101,9.7654,9.210299,5.684367,"n","Ability to move at speeds faster than a normal human. i.e. Quicksilver"
"Super Eating","Enhanced physical abilities",121,24,40,0.456031,0.870754,0.414723,52.372017,"y",
"Super Sight*","Enhanced physical abilities",769,295,45,0.436334,5.533967,5.097633,7.884652,"n",
"Super Smell*","Enhanced physical abilities",516,192,15,0.395518,3.713299,3.317781,10.65138,"n",
"Siphon Abilities","Enhanced physical abilities",182,53,26,0.393883,1.309729,0.915846,30.073659,"y",
"Super Hearing*","Enhanced physical abilities",625,246,29,0.24679,4.497697,4.250907,5.48703,"n",
"Longevity","Enhanced physical abilities",1126,466,79,0.050519,8.103051,8.052532,0.623465,"y",
"Gadgets","Objects",2148,556,88,5.849945,15.457686,9.607741,37.84489,"y","Possession of artifacts (either mystical in nature or quite ordinary) that can be both technological or magical. i.e. Batman"
"Power Suit","Objects",994,218,52,3.386074,7.153138,3.767064,47.336899,"y","i.e. Iron Man"
"Power Item","Objects",962,306,46,1.635141,6.922855,5.287714,23.619468,"y","Possession of artifacts (either mystical in nature or quite ordinary) that can be both technological or magical. i.e. Thor"
"Implants","Objects",446,99,21,1.498826,3.209557,1.710731,46.69884,"y",
"Insanely Rich","Objects",945,309,5,1.460964,6.800518,5.339554,21.483127,"y","i.e. Batman (Bruce Wayne)"
"Invulnerability","Supernatural physical abilities",2125,558,217,5.649868,15.29217,9.642302,36.946153,"y",
"Flight","Supernatural physical abilities",2197,1082,233,-2.886775,15.810305,18.69708,-18.258816,"y","Ability to fly. i.e. Superman"
"Feral","Supernatural physical abilities",541,164,44,1.059269,3.893207,2.833938,27.208125,"y",
"Adaptive","Supernatural physical abilities",569,184,80,0.915164,4.094704,3.17954,22.349925,"y",
"Claws*","Supernatural physical abilities",944,348,81,0.779844,6.793322,6.013478,11.479558,"n",
"Pheromone Control","Supernatural physical abilities",20,42,3,-0.581839,0.143926,0.725765,-404.261275,"y","Ability to generate and control pheromones, which may affect emotional and physical states such as inducing sleep, fear, happiness, and pleasure. i.e. Spider Woman"
"Matter Absorption","Supernatural physical abilities",123,19,33,0.556825,0.885147,0.328322,62.90761,"y",
"Sonic Scream","Supernatural physical abilities",71,52,6,-0.387628,0.510938,0.898566,-75.86577,"y",
"Enhance Mutation","Supernatural physical abilities",105,15,9,0.496411,0.755613,0.259202,65.696512,"y",
"Duplication","Supernatural physical abilities",127,26,19,0.464649,0.913932,0.449283,50.840671,"y","Ability to duplicate oneself. i.e. Madrox"
"Flame Breath","Supernatural physical abilities",125,29,14,0.398416,0.899539,0.501123,44.291135,"y",
"Heat Vision","Supernatural physical abilities",193,58,10,0.386643,1.388889,1.002246,27.838258,"y",
"Genetic Manipulation","Supernatural physical abilities",182,54,26,0.376603,1.309729,0.933126,28.754294,"y",
"Prehensile Hair","Supernatural physical abilities",8,25,0,-0.374432,0.057571,0.432003,-650.388802,"y","Ability to control one's own hair. i.e. Medusa"
"Magnetism","Supernatural physical abilities",125,34,11,0.312015,0.899539,0.587524,34.686159,"y","Ability to control or generate magnetic fields. i.e. Magneto"
"Invisibility*","Supernatural physical abilities",306,112,22,0.266701,2.202073,1.935372,12.111325,"n","Ability to render oneself unseen. i.e. Invisible Woman "
"Phasing / Ghost*","Supernatural physical abilities",471,181,39,0.261765,3.389465,3.1277,7.722889,"n","Ability to pass through a solid object. i.e. Kitty Pryde"
"Sub-Mariner*","Supernatural physical abilities",418,160,26,0.243242,3.00806,2.764818,8.086348,"n",
"Voice-induced Manipulation*","Supernatural physical abilities",89,50,2,-0.223534,0.640472,0.864006,-34.901358,"n",
"Chemical Secretion*","Supernatural physical abilities",187,69,28,0.153383,1.345711,1.192328,11.397942,"n",
"Shadowmeld*","Supernatural physical abilities",32,22,5,-0.14988,0.230282,0.380162,-65.085537,"n",
"Webslinger*","Supernatural physical abilities",76,39,7,-0.127004,0.54692,0.673924,-23.22174,"n",
"Healing*","Supernatural physical abilities",1163,491,81,-0.115219,8.369315,8.484534,-1.376688,"n","Ability to heal from various levels of injuries at various speeds. i.e. Wolverine"
"Poisonous*","Supernatural physical abilities",139,64,17,-0.105639,1.000288,1.105927,-10.560883,"n",
"Wall Clinger*","Supernatural physical abilities",161,73,6,-0.102841,1.158607,1.261448,-8.876288,"n",
"Inertia Absorption*","Supernatural physical abilities",39,11,4,0.090575,0.280656,0.190081,32.2726,"n",
"Ice Breath*","Supernatural physical abilities",75,28,2,0.055881,0.539724,0.483843,10.353551,"n",
"Blood Control*","Supernatural physical abilities",22,6,0,0.054638,0.158319,0.103681,34.511523,"n",
"Electronic interaction*","Supernatural physical abilities",167,72,26,-0.042383,1.201785,1.244168,-3.526695,"n",
"Power Mimicry*","Supernatural physical abilities",69,31,10,-0.039137,0.496546,0.535683,-7.881984,"n","Ability to mimic another's power. i.e. Mimic "
"Chemical Absorbtion*","Supernatural physical abilities",31,15,4,-0.036116,0.223086,0.259202,-16.189234,"n",
"Vampirism*","Supernatural physical abilities",161,66,10,0.01812,1.158607,1.140487,1.563904,"n",
"Leadership","Enhanced skills",2428,757,46,4.39161,17.472654,13.081044,25.134191,"y",
"Intellect","Enhanced skills",4425,1934,183,-1.576038,31.843696,33.419734,-4.949293,"y",
"Unarmed Combat","Enhanced skills",4548,1984,146,-1.554896,32.728843,34.283739,-4.750845,"y",
"Tracking","Enhanced skills",905,321,59,0.96575,6.512666,5.546916,14.828798,"y",
"Weapon Master*","Enhanced skills",2464,973,63,0.918173,17.731721,16.813548,5.178142,"n",
"Swordsmanship","Enhanced skills",765,366,10,-0.819339,5.505181,6.32452,-14.883054,"y",
"Omni-lingual","Enhanced skills",377,111,38,0.794919,2.713011,1.918092,29.300238,"y",
"Stealth*","Enhanced skills",1032,447,31,-0.297611,7.426598,7.724209,-4.007378,"n",
"Escape Artist","Enhanced skills",403,156,3,0.204418,2.900115,2.695697,7.048613,"y",
"Marksmanship","Enhanced skills",1527,628,26,0.136865,10.988774,10.851909,1.245492,"y",
"Blast Power","Energy manipulation",2065,737,202,2.124949,14.860391,12.735442,14.299421,"y","Ability to expel various forms of energy from the body. i.e. Starfire"
"Energy Absorption","Energy manipulation",495,153,62,0.918319,3.562176,2.643857,25.779726,"y",
"Radiation","Energy manipulation",196,36,14,0.788394,1.410478,0.622084,55.895515,"y","Ability to generate, manipulate or have immunity to toxic radiation. i.e. Starfire"
"Force Field","Energy manipulation",748,268,78,0.751774,5.382844,4.63107,13.966118,"y","Ability to project powerful fields of manipulated energy which protect the user and allies from harm, to capture or knock out foes. i.e. Green Lantern"
"Energy-Enhanced Strike","Energy manipulation",519,177,52,0.676308,3.734888,3.05858,18.107858,"y",
"Energy Manipulation*","Energy manipulation",731,267,67,0.646717,5.260507,4.61379,12.293818,"n","Ability to generate, convert and manipulate energy of all forms. i.e. Ms. Marvel"
"Light Projection","Energy manipulation",371,190,31,-0.613388,2.669833,3.283221,-22.974769,"y",
"Electricity Control","Energy manipulation",352,118,31,0.49405,2.533103,2.039053,19.503747,"y","Ability to control, generate or absorb electricity. i.e. Storm"
"Energy Shield*","Energy manipulation",352,125,34,0.373089,2.533103,2.160014,14.728545,"n",
"Radar Sense*","Energy manipulation",186,60,36,0.301708,1.338515,1.036807,22.540511,"n","Echolocation, or sonar. i.e. Daredevil"
"Vibration Wave","Energy manipulation",114,31,16,0.284697,0.82038,0.535683,34.703009,"y",
"Electronic Disruption*","Energy manipulation",120,66,27,-0.276929,0.863558,1.140487,-32.068429,"n",
"Energy Based Constructs*","Energy manipulation",308,141,21,-0.220031,2.216465,2.436496,-9.927087,"n","Ability to create complex shapes or even functional machinery out of solid energy. i.e. Green Lantern"
"Empathy","Mental powers",147,149,13,-1.516878,1.057858,2.574736,-143.391416,"y",
"Telepathy","Mental powers",784,406,92,-1.373814,5.641911,7.015725,-24.350144,"y",
"Psychic","Mental powers",293,192,35,-1.209261,2.10852,3.317781,-57.351154,"y",
"Psionic","Mental powers",401,232,50,-1.123263,2.885723,4.008986,-38.92485,"y",
"Mesmerize","Mental powers",134,108,10,-0.901946,0.964306,1.866252,-93.533112,"y",
"Precognition","Mental powers",153,110,14,-0.799776,1.101036,1.900812,-72.63847,"y",
"Emotion Control","Mental powers",157,111,20,-0.78827,1.129822,1.918092,-69.769492,"y",
"Willpower-Based Constructs*","Mental powers",399,137,32,0.503955,2.87133,2.367375,17.551265,"n",
"Illusion Casting","Mental powers",310,157,25,-0.482119,2.230858,2.712977,-21.611398,"y","Ability to alter or deceive the perceptions of another. i.e. Lady Mastermind"
"Telekinesis*","Mental powers",414,195,36,-0.390347,2.979275,3.369622,-13.10208,"n",
"Holographic Projection*","Mental powers",209,69,21,0.311702,1.50403,1.192328,20.724475,"n",
"Hypnosis*","Mental powers",270,126,15,-0.234289,1.943005,2.177294,-12.058061,"n",
"Danger Sense*","Mental powers",144,72,16,-0.207899,1.036269,1.244168,-20.062208,"n",
"Technopathy*","Mental powers",186,67,30,0.180748,1.338515,1.157767,13.50357,"n",
"Postcognition*","Mental powers",44,26,5,-0.132645,0.316638,0.449283,-41.891701,"n",
"Psychometry*","Mental powers",27,18,3,-0.116741,0.194301,0.311042,-60.082945,"n",
"Levitation*","Mental powers",308,125,28,0.056451,2.216465,2.160014,2.546909,"n",
"Astral Projection*","Mental powers",230,94,32,0.030823,1.655153,1.62433,1.862195,"n",
"Synaesthesia*","Mental powers",6,4,0,-0.025942,0.043178,0.06912,-60.082945,"n",
"Size Manipulation","Shapeshifting",464,127,57,1.144516,3.33909,2.194574,34.276291,"y","Ability to increase or decrease one's size. i.e. Giganta"
"Shape Shifter","Shapeshifting",839,395,84,-0.787935,6.037709,6.825644,-13.050232,"y",
"Elasticity*","Shapeshifting",232,90,37,0.114335,1.669545,1.55521,6.848287,"n","Ability to stretch, deform, expand and contract one's body into any form they can imagine. i.e. Mr. Fantastic"
"Controlled Bone Growth*","Shapeshifting",38,10,3,0.100659,0.27346,0.172801,36.809364,"n","Ability to manipulate the bones in one's own body. i.e. Marrow"
"Chameleon*","Shapeshifting",251,107,16,-0.042697,1.806275,1.848972,-2.363795,"n",
"Divine Powers","Divine",534,285,86,-1.082,3.842832,4.924832,-28.15629,"y","Usually cosmic beings or those who have received their powers from divine beings. i.e. Galactus"
"Magic","Divine",993,465,55,-0.88931,7.145941,8.035251,-12.444969,"y","Ability to control or influence the natural world including events, objects, people, and physical phenomena through mystical, paranormal or supernatural means. i.e. Dr. Strange"
"Cosmic Awareness","Divine",283,82,58,0.619588,2.036557,1.416969,30.423314,"y",
"Siphon Lifeforce","Divine",201,57,29,0.461493,1.446459,0.984966,31.905016,"y",
"Immortal*","Divine",842,328,97,0.391422,6.059298,5.667876,6.459847,"n","Ability to live ""forever"". i.e. Mr. Immortal"
"Soul Absorption","Divine",97,25,19,0.26604,0.698043,0.432003,38.112264,"y",
"Sense Death*","Divine",46,29,5,-0.170092,0.331031,0.501123,-51.382785,"n",
"Death Touch*","Divine",147,54,13,0.124732,1.057858,0.933126,11.791031,"n","Ability to disintegrate, kill or harm matter through touch. i.e.Wither"
"Darkforce Manipulation*","Divine",75,38,5,-0.11692,0.539724,0.656644,-21.663038,"n",
"Necromancy*","Divine",198,76,18,0.111582,1.42487,1.313288,7.831032,"n","Ability to communicate with, manipulate, and/or reanimate the dead."
"Penance Stare*","Divine",24,4,1,0.103592,0.172712,0.06912,59.979264,"n",
"Possession*","Divine",209,82,62,0.087061,1.50403,1.416969,5.788506,"n",
"Time Travel","Physics or reality manipulation",241,62,28,0.662945,1.734312,1.071367,38.225254,"y","Ability to travel back and forth through time. i.e. Forge"
"Dimensional Manipulation","Physics or reality manipulation",334,101,53,0.658278,2.403569,1.745291,27.387527,"y",
"Reality Manpulation*","Physics or reality manipulation",256,85,41,0.373448,1.842257,1.468809,20.27119,"n","Ability to change or manipulate reality itself. i.e. Scarlet Witch"
"Darkness Manipulation","Physics or reality manipulation",88,54,13,-0.29985,0.633276,0.933126,-47.349074,"y",
"Time Manipulation*","Physics or reality manipulation",173,59,33,0.225436,1.244963,1.019527,18.107858,"n","Ability to affect the flow of time by slowing, accelerating or even stopping it."
"Gravity control*","Physics or reality manipulation",116,42,11,0.109008,0.834773,0.725765,13.058401,"n",
"Density Control*","Physics or reality manipulation",181,70,13,0.092925,1.302533,1.209608,7.134203,"n","Ability to increase the natural density of an object and/or one's self. i.e Vision"
"Teleport*","Physics or reality manipulation",691,283,57,0.082383,4.972654,4.890271,1.656715,"n","The ability to move from one point to the other without entering the space in between your current space and destination. i.e. Nightcrawler"
"Probability Manipulation*","Physics or reality manipulation",69,26,9,0.047263,0.496546,0.449283,9.518336,"n","Ability to alter probability, causing unlikely things to happen or likely things to not happen. i.e. Scarlet Witch"
"Animation*","Physics or reality manipulation",112,46,7,0.011102,0.805987,0.794885,1.377472,"n",
"Water Control","Elemental and environmental powers",110,81,6,-0.608094,0.791595,1.399689,-76.818889,"y","Ability to control, generate or absorb water. i.e. Meggan"
"Animal Control*","Elemental and environmental powers",266,132,9,-0.366755,1.91422,2.280975,-19.159485,"n",
"Plant Control","Elemental and environmental powers",84,52,10,-0.294075,0.604491,0.898566,-48.648448,"y","Ability to accelerate the growth of, control or animate plant life. i.e. Poison Ivy"
"Heat Generation*","Elemental and environmental powers",327,121,27,0.262302,2.353195,2.090893,11.146623,"n",
"Fire Control*","Elemental and environmental powers",392,178,22,-0.254904,2.820956,3.07586,-9.036087,"n","Ability to control the kinetic energy of atoms to generate, control or absorb fire. i.e. The Human Torch"
"Ice Control*","Elemental and environmental powers",141,70,11,-0.194928,1.01468,1.209608,-19.210703,"n",
"Earth Manipulation*","Elemental and environmental powers",132,64,15,-0.156013,0.949914,1.105927,-16.42396,"n","Ability to control earth; sand, stone, rock, lava, dirt, or minerals even geothermal activities. i.e. Magma"
"Hellfire Control*","Elemental and environmental powers",53,15,3,0.122203,0.381405,0.259202,32.040259,"n",
"Weather Control*","Elemental and environmental powers",148,55,7,0.114649,1.065055,0.950406,10.764575,"n","Ability to control or mentally affect the weather. i.e. Storm"
"Wind Bursts*","Elemental and environmental powers",181,80,8,-0.079876,1.302533,1.382409,-6.132339,"n",
"Sand manipulation*","Elemental and environmental powers",30,12,2,0.008528,0.215889,0.207361,3.950233,"n",
