"title","num_males","percent_males","num_females","percent_females","percent_comparison","percent_diff","percent_males","percent_females"
"captain",183,0.823027,13,0.141105,6.632653,82.855362,0.1237322515,0.067357513
"doctor",440,1.978862,82,0.890047,15.708812,55.022301,0.2974983097,0.4248704663
"professor",157,0.706094,5,0.054271,3.08642,92.313893,0.1061528059,0.0259067358
"boss",12,0.053969,1,0.010854,7.692308,79.888021,0.0081135903,0.0051813472
"commander",34,0.152912,6,0.065125,15,57.409926,0.0229885057,0.0310880829
"officer",16,0.071959,4,0.043417,20,39.664062,0.0108181204,0.0207253886
"pilot",5,0.022487,0,0,0,100,0.0033806626,0
"agent",95,0.427254,28,0.303918,22.764228,28.867104,0.0642325896,0.1450777202
"principal",8,0.035979,0,0,0,100,0.0054090602,0
"leader",11,0.049472,0,0,0,100,0.0074374577,0
"president",16,0.071959,2,0.021708,11.111111,69.832031,0.0108181204,0.0103626943
"congress",7,0.031482,0,0,0,100,0.0047329277,0
"senator",25,0.112435,1,0.010854,3.846154,90.34625,0.016903313,0.0051813472
"private",12,0.053969,1,0.010854,7.692308,79.888021,0.0081135903,0.0051813472
"attorney",2,0.008995,1,0.010854,33.333333,-20.671877,0.001352265,0.0051813472
"commissioner",7,0.031482,0,0,0,100,0.0047329277,0
"judge",22,0.098943,2,0.021708,8.333333,78.059659,0.0148749155,0.0103626943
"nurse",1,0.004497,11,0.119397,91.666667,-2554.781287,0.0006761325,0.0569948187
"counselor",1,0.004497,1,0.010854,50,-141.343753,0.0006761325,0.0051813472
"surgeon",2,0.008995,1,0.010854,33.333333,-20.671877,0.001352265,0.0051813472
"examiner",1,0.004497,0,0,0,100,0.0006761325,0
"mayor",18,0.080953,1,0.010854,5.263158,86.592014,0.0121703854,0.0051813472
"major",33,0.148415,3,0.032563,8.333333,78.059659,0.0223123732,0.0155440415
"inspector",28,0.125928,0,0,0,100,0.0189317106,0
"detective",48,0.215876,12,0.130251,20,39.664062,0.0324543611,0.0621761658
"colonel",55,0.247358,5,0.054271,8.333333,78.059659,0.0371872887,0.0259067358
"general",98,0.440747,2,0.021708,2,95.074617,0.0662609872,0.0103626943
"lieutenant",34,0.152912,7,0.07598,17.073171,50.31158,0.0229885057,0.0362694301
"sergeant",37,0.166404,1,0.010854,2.631579,93.477196,0.0250169033,0.0051813472
"chief",36,0.161907,1,0.010854,2.702703,93.296007,0.0243407708,0.0051813472
"sensei",5,0.022487,1,0.010854,16.666667,51.731249,0.0033806626,0.0051813472
"admiral",18,0.080953,0,0,0,100,0.0121703854,0
"director",12,0.053969,1,0.010854,7.692308,79.888021,0.0081135903,0.0051813472
